SMILES,molar_mass,log_p_sat,c,volatility
CC(C)(C=O)C(C=O)C(=O)CC(=O)OO,216.188,-4.716698771296451,0.0016744177291133865,IVOC
CCC(=O)CC(C(=O)CC)O,158.195,-3.023191662661934,0.06049675658428744,IVOC
CCCC(CC(=O)OO)O,148.1571,-2.3665315444204134,0.256993373585796,IVOC
CC(C)(CON(=O)=O)OC=O,163.1287,-1.214670164989233,4.014127950325731,VOC
CC(=O)c1ccccc1,120.1485,-1.640164517660112,1.1099025183554792,IVOC
CCCC1(C(C(=O)OC1=O)O)O,174.1513,-5.515700160653214,0.000214268121095663,SVOC
CC(=O)C(CCC(=O)O)CON(=O)=O,205.1653,-5.6595558851598815,0.00018125042170672416,SVOC
CC(=O)CCC1C(CC1(C)C)O,170.2487,-3.202732459169284,0.04306082502732561,IVOC
CCC12C(C=CC(C)(C1O)OO2)OO,202.2045,-6.023191662661934,7.732682080184298e-05,SVOC
CC(=O)CC(=O)CO,116.1152,-2.1034737825104446,0.36910191063845227,IVOC
CCC(=O)CC(=O)CO,130.1418,-2.076755981369724,0.4399383575418503,IVOC
CCc1ccc(C)cc1O,136.191,-2.2873502983727887,0.2834843652476173,IVOC
CCCC(=O)C(C(=O)OO)O,162.1406,-2.694648630553376,0.1321216979943253,IVOC
CCC(C)(CCC(=O)O)O,146.1843,-4.935542010773082,0.0006840529544407792,IVOC
CC1=CC(C2C(C1(C)OO2)ON(=O)=O)(O)O,233.1754,-6.078313524516398,7.854168373173354e-05,SVOC
CC(=CCO)C(=O)OO,132.1146,-3.169411331314856,0.03608032859528602,IVOC
CCC(=O)C(C)CON(=O)=O,161.1558,-1.7351821769904636,1.196175119070242,IVOC
CC(=O)C=CC=O,98.0999,-1.0867160982395816,3.241033109572194,VOC
CC(C)C(C)C,86.1754,1.5514499979728753,1237.5544244704429,VOC
Cc1ccc(cc1)CO,122.1644,-2.575118363368933,0.1310862996516364,IVOC
Cc1ccc(C)c(c1)O,122.1644,-2.0065637695023884,0.485413553221285,IVOC
CC1(C)CC2C1CCC1(C)OC(CCC2(CO)OO)OO1,302.3633,-9.525783735923746,3.634765037299284e-08,LVOC
C(=O)C(CO)(CO)OO,136.1033,-3.958607314841775,0.006039379796219078,IVOC
Cc1ccccc1CON(=O)=O,167.162,-1.9507819773298185,0.7552427806039053,IVOC
Cc1cc(c(cc1C)O)N(=O)=O,167.162,-2.4485500020271247,0.24005931240624148,IVOC
CCCC(C)(C)ON(=O)=O,147.1723,-0.2335871528876005,34.671284001792394,VOC
C=C1CCC2OC(C)(CCC3C1CC3(C)C)OO2,252.3493,-5.370590400897281,0.0004336533490426171,IVOC
CCC(=O)COC(=O)C,130.1418,-1.844663962534938,0.7507301327981469,IVOC
CCC(C=O)(C=O)O,116.1152,-0.5590909179347823,12.927934941143757,VOC
CCC(=O)C(=O)CC(=O)C,142.1525,-2.0371573187987577,0.5264149133853117,IVOC
CC1=CC(=O)C(=O)C(C1=O)O,154.1201,-5.801342913045578,9.823072973699163e-05,SVOC
CCCCOC(C(C)O)ON(=O)=O,193.1977,-2.350665141287858,0.3475904308652284,IVOC
CC(=O)C(C)(C)CO,116.1583,-1.171984935776023,3.153525251463499,VOC
C(=CCON(=O)=O)CON(=O)=O,178.1002,-1.458420756053419,2.50019943310931,IVOC
CCCc1ccc(c(c1O)O)N(=O)=O,197.1879,-3.291579099865287,0.04064734309574498,IVOC
CC(C)(C(=O)CON(=O)=O)O,163.1287,-2.4571745730408203,0.22966076305961963,IVOC
CC1(C)CC(C1CCC(=O)OC)O,186.2481,-3.315154638355588,0.03636371236984286,IVOC
CCCCCC=O,100.1589,0.2253092817258628,67.87812374064845,VOC
CCCC(=O)C=CC=O,126.1531,-1.8860566476931635,0.6615646340159719,IVOC
CC(=O)C(=O)CC(CC=O)C(C)(C)OO,216.231,-4.464705879957229,0.0029918724736129453,IVOC
Cc1cc(C)c(c(c1)N(=O)=O)OO,183.1614,-3.026872146400301,0.06945328779288637,IVOC
C(=O)(C(=O)Cl)Cl,126.9262,1.390935107103379,1259.5557255618749,VOC
CC1C(C)(C(C)(C(=O)O1)O)O,160.1678,-5.804100347590766,0.00010143921133032634,SVOC
CC(=O)C(OC)OO,120.1039,-2.114073660198569,0.37257563563542795,IVOC
C(C(Br)OO)Br,219.86,-1.8477116556169435,1.259405452686808,IVOC
CCC1=C(C)C(=O)C=CC1=O,150.1745,-2.211831628858832,0.3719594244700925,IVOC
C(C(=O)C(C(=O)OON(=O)=O)O)O,195.0844,-2.2358238676096693,0.45722469187079356,IVOC
C=C(CO)C(CO)OO,134.1305,-5.137272471682025,0.0003944446528687339,IVOC
CC(C)(C(CC=O)OO)O,148.1571,-2.703334809738469,0.1183364836511339,IVOC
CC1=CCC(=O)CC1O,126.1531,-3.7166987712964494,0.009770800748543612,IVOC
CC(=O)COC,88.1051,0.1303337684950061,47.980615872663904,VOC
CCCC(=O)C(=O)C(C(=O)OO)O,190.1507,-3.381951903287907,0.03183296021638245,IVOC
CCC(C(=O)OO)OC(=O)C(=O)C,190.1507,-3.2668027348934303,0.04149790717364556,IVOC
Cc1cc(C)cc(c1)CON(=O)=O,181.1885,-2.6090648928966207,0.17980291900408896,IVOC
C\C1=CCCC(CO)(C2CC(C)(C)C2CC1)ON(=O)=O,283.3633,-5.423658649794207,0.0004309391523382051,IVOC
CC(=O)CC(C(C)(C)O)OO,162.1837,-3.543633966870957,0.018711311913419786,IVOC
CCC(CCC(=O)O)O,132.1577,-4.935542010773082,0.0006184170607725876,IVOC
CC(C)(C(C(=O)OO)O)O,150.1299,-2.384049948343599,0.25011990107423454,IVOC
CCCC1=CC(=O)C=CC1=O,150.1745,-2.504455662453552,0.18961449488459078,IVOC
CC(C)CC(=O)C,100.1589,0.1105897102992489,52.12070215799791,VOC
C=C(Cl)Cl,96.9433,1.705007959333336,1982.698873517356,VOC
CCCCO,74.1216,-0.2724587429714435,15.96676905975981,VOC
C=C(CCOO)C1CC(C)(C)C1CCC(=O)O,242.3114,-7.183758700008217,6.402449300558554e-06,SVOC
C(C(=O)C(CO)(CO)OO)O,166.1293,-5.892790030352131,8.578022993727591e-05,SVOC
C=C(CCC(=O)O)C1CC(C)(C)C1CCC(=O)O,254.3221,-9.52432881167557,3.067512142943371e-08,LVOC
CC1(C(=O)CC(=O)CC1=O)ON(=O)=O,201.1336,-4.752026733638194,0.0014361139291860284,IVOC
C(C(COO)O)O,108.0932,-4.218244625347531,0.0026380604915807867,IVOC
CC(C)C(=O)C(=O)C=O,128.1259,-0.4921441283041691,16.64270066326148,VOC
CC(=O)C=CC1(C)C(C)(C=O)O1,168.1898,-3.7772835288524167,0.01133044916273631,IVOC
C(C=O)C=O,72.0627,-0.1605219526258016,20.08720809045434,VOC
CCCc1ccccc1O,136.191,-2.2510371387438384,0.3082068389610724,IVOC
CC(=O)CCC(CC=O)C(C)(CON(=O)=O)O,247.2451,-6.528708288941061,2.952231471841497e-05,SVOC
CC(=O)C(=O)CC(CO)ON(=O)=O,191.1388,-3.892790030352132,0.009869378980068512,IVOC
CC(=O)CC(=O)C(=O)C(C)OO,174.1513,-3.9281179926938745,0.008289717471897782,IVOC
CCC(=O)C(CC)OO,132.1577,-2.43297363384094,0.19672059950438353,IVOC
CCCCOC(CO)ON(=O)=O,179.1711,-1.9706162223147905,0.7733618401375963,IVOC
CCCCC(C)C,100.2019,0.8779469516291882,305.1784827166954,VOC
C=C(C)C(CO)C(=O)OO,146.1412,-2.5466816599529625,0.1674256564561023,IVOC
